id,casualties,people_rescued,est_people_displaced
ci1695101,0,0,0
ci1695102,0,0,0
ci1695103,0,0,2
ci1695104,0,0,0
ci1695105,0,0,0
ci1695106,0,0,14
ci1695107,0,0,0
ci1695108,1,0,2
ci1695109,0,0,0
ci1695110,0,0,0
ci1695111,0,0,0
ci1695112,0,0,0
ci1695113,0,0,0
ci1695114,0,0,0
ci1695115,0,0,0
ci1695116,0,0,0
ci1695117,0,0,0
ci1695118,0,0,0
ci1695119,0,0,0
ci1695120,0,0,0
ci1695121,0,0,0
ci1695122,0,0,0
ci1695123,0,0,0
ci1695124,0,0,0
ci1695125,0,0,0
ci1695126,0,0,0
ci1695127,0,0,0
ci1695128,0,0,0
ci1695129,2,0,0
ci1695130,0,0,0
ci1695131,0,0,0
ci1695132,0,0,0
ci1695133,0,0,0
ci1695134,0,0,0
ci1695135,0,0,0
ci1695136,0,0,0
ci1695137,0,0,0
ci1695138,0,0,0
ci1695139,0,0,0
ci1695140,0,0,0
ci1695141,0,0,0
ci1695142,0,0,30
ci1695143,0,0,0
ci1695144,0,0,0
ci1695145,0,0,0
ci1695146,0,0,0
ci1695147,0,0,0
ci1695148,0,0,0
ci1695149,0,0,0
ci1695150,0,0,0
ci1695151,0,0,0
ci1695152,0,0,0
ci1695153,0,0,0
ci1695154,0,0,0
ci1695155,0,0,0
ci1695156,0,0,0
ci1695157,0,0,0
ci1695158,0,0,0
ci1695159,0,0,0
ci1695160,0,0,0
ci1695161,0,0,0
ci1695162,0,0,0
ci1695163,0,0,0
ci1695164,0,0,0
ci1695165,0,0,0
ci1695166,0,0,0
ci1695167,0,0,0
ci1695168,0,0,0
ci1695169,0,0,0
ci1695170,0,0,0
ci1695171,8,11,2
ci1695172,0,0,0
ci1695173,0,0,0
ci1695174,0,0,0
ci1695175,0,0,0
ci1695176,0,0,0
ci1695177,0,0,0
ci1695178,0,0,0
ci1695179,0,0,0
ci1695180,0,0,0
ci1695181,0,0,0
ci1695182,0,0,0
ci1695183,0,0,0
ci1695184,0,0,0
ci1695185,0,0,0
ci1695186,0,0,0
ci1695187,0,0,0
ci1695188,0,0,0
ci1695189,0,0,0
ci1695190,0,0,0
ci1695191,0,0,0
ci1695192,0,0,0
ci1695193,0,0,0
ci1695194,0,0,0
ci1695195,0,0,0
ci1695196,0,0,0
ci1695197,0,0,0
ci1695198,0,0,0
ci1695199,0,0,0
ci1695200,0,0,0
ci1695201,0,0,0
ci1695202,0,0,0
ci1695203,0,0,0
ci1695204,0,0,0
ci1695205,0,0,2
ci1695206,0,0,0
ci1695207,0,0,0
ci1695208,0,0,0
ci1695209,0,0,0
ci1695210,0,0,0
ci1695211,0,0,0
ci1695212,0,0,0
ci1695213,0,0,0
ci1695214,0,0,0
ci1695215,0,0,0
ci1695216,0,0,0
ci1695217,0,0,0
ci1695218,0,0,0
ci1695219,0,0,0
ci1695220,0,0,0
ci1695221,0,0,0
ci1695222,0,0,0
ci1695223,0,0,0
ci1695224,1,0,0
ci1695225,0,0,0
ci1695226,0,0,0
ci1695227,0,0,0
ci1695228,0,0,20
ci1695229,0,0,0
ci1695230,0,0,0
ci1695231,0,0,0
ci1695232,0,0,0
ci1695233,0,0,0
ci1695234,0,0,0
ci1695235,0,0,0
ci1695236,0,0,0
ci1695237,0,0,0
ci1695238,0,0,0
ci1695239,0,0,0
ci1695240,0,0,0
ci1695241,0,0,0
ci1695242,0,0,0
ci1695243,0,0,0
ci1695244,0,0,3
ci1695245,0,0,0
ci1695246,0,0,0
ci1695247,0,0,0
ci1695248,0,0,0
ci1695249,0,0,0
ci1695250,0,0,0
ci1695251,0,0,0
ci1695252,0,0,0
ci1695253,0,0,20
ci1695254,0,0,0
ci1695255,0,0,0
ci1695256,0,0,0
ci1695257,0,0,0
ci1695258,0,0,16
ci1695259,0,0,0
ci1695260,0,0,0
ci1695261,0,0,0
ci1695262,0,0,9
ci1695263,0,0,0
ci1695264,0,0,0
ci1695265,0,0,0
ci1695266,0,0,0
ci1695267,0,0,0
ci1695268,0,0,1
ci1695269,0,0,0
ci1695270,0,0,0
ci1695271,0,0,0
ci1695272,0,0,0
ci1695273,0,0,0
ci1695274,0,0,0
ci1695275,0,0,0
ci1695276,0,0,0
ci1695277,0,0,0
ci1695278,0,0,0
ci1695279,0,0,0
ci1695280,0,0,0
ci1695281,0,0,0
ci1695282,0,0,0
ci1695283,0,0,0
ci1695284,0,0,0
ci1695285,0,0,0
ci1695286,0,0,0
ci1695287,0,0,997
ci1695288,0,0,0
ci1695289,0,0,0
ci1695290,0,0,0
ci1695291,0,0,0
ci1695292,0,0,1
ci1695293,0,0,0
ci1695294,0,0,0
ci1695295,0,0,0
ci1695296,0,0,0
ci1695297,0,0,0
ci1695298,0,0,0
ci1695299,0,0,0
ci1695300,0,0,0
ci1695301,0,0,0
ci1695302,0,0,5
