id,Date,Fire Details,TFS,Location,Civilian Impact,Sprinkler Systems,Smoke Alarms,Fire Alarms,Damages
1695795,2019-03-22,fr1695795,F19030249,loc1695795,ci1695795,sp1695795,sa1695795,fa1695795,d1695795
1695796,2019-03-22,fr1695796,F19030260,loc1695796,ci1695796,sp1695796,sa1695796,fa1695796,d1695796
1695797,2019-03-22,fr1695797,F19030263,loc1695797,ci1695797,sp1695797,sa1695797,fa1695797,d1695797
1695798,2019-03-22,fr1695798,F19030283,loc1695798,ci1695798,sp1695798,sa1695798,fa1695798,d1695798
1695799,2019-03-22,fr1695799,F19030345,loc1695799,ci1695799,sp1695799,sa1695799,fa1695799,d1695799
1695800,2019-03-22,fr1695800,F19030429,loc1695800,ci1695800,sp1695800,sa1695800,fa1695800,d1695800
1695801,2019-03-22,fr1695801,F19030494,loc1695801,ci1695801,sp1695801,sa1695801,fa1695801,d1695801
1695802,2019-03-25,fr1695802,F19031519,loc1695802,ci1695802,sp1695802,sa1695802,fa1695802,d1695802
1695803,2019-03-25,fr1695803,F19031315,loc1695803,ci1695803,sp1695803,sa1695803,fa1695803,d1695803
1695804,2019-03-25,fr1695804,F19031332,loc1695804,ci1695804,sp1695804,sa1695804,fa1695804,d1695804
1695805,2019-03-25,fr1695805,F19031346,loc1695805,ci1695805,sp1695805,sa1695805,fa1695805,d1695805
1695806,2019-03-25,fr1695806,F19031377,loc1695806,ci1695806,sp1695806,sa1695806,fa1695806,d1695806
1695807,2019-03-25,fr1695807,F19031426,loc1695807,ci1695807,sp1695807,sa1695807,fa1695807,d1695807
1695808,2019-03-25,fr1695808,F19031469,loc1695808,ci1695808,sp1695808,sa1695808,fa1695808,d1695808
1695809,2019-03-25,fr1695809,F19031475,loc1695809,ci1695809,sp1695809,sa1695809,fa1695809,d1695809
1695810,2019-03-25,fr1695810,F19031516,loc1695810,ci1695810,sp1695810,sa1695810,fa1695810,d1695810
1695811,2019-03-25,fr1695811,F19031517,loc1695811,ci1695811,sp1695811,sa1695811,fa1695811,d1695811
1695812,2019-03-26,fr1695812,F19031636,loc1695812,ci1695812,sp1695812,sa1695812,fa1695812,d1695812
1695813,2019-03-26,fr1695813,F19031666,loc1695813,ci1695813,sp1695813,sa1695813,fa1695813,d1695813
1695814,2019-03-26,fr1695814,F19031669,loc1695814,ci1695814,sp1695814,sa1695814,fa1695814,d1695814
1695815,2019-03-26,fr1695815,F19031718,loc1695815,ci1695815,sp1695815,sa1695815,fa1695815,d1695815
1695816,2019-03-26,fr1695816,F19031722,loc1695816,ci1695816,sp1695816,sa1695816,fa1695816,d1695816
1695817,2019-03-26,fr1695817,F19031752,loc1695817,ci1695817,sp1695817,sa1695817,fa1695817,d1695817
1695818,2019-03-26,fr1695818,F19031759,loc1695818,ci1695818,sp1695818,sa1695818,fa1695818,d1695818
1695819,2019-03-29,fr1695819,F19032876,loc1695819,ci1695819,sp1695819,sa1695819,fa1695819,d1695819
1695820,2019-03-29,fr1695820,F19032906,loc1695820,ci1695820,sp1695820,sa1695820,fa1695820,d1695820
1695821,2019-03-29,fr1695821,F19032916,loc1695821,ci1695821,sp1695821,sa1695821,fa1695821,d1695821
