id,area_of_origin,level_of_origin,exposures,extent_of_fire,final_incident_type,ignition_source,material_first_ignited,possible_cause,smoke_spread,Status_of_Fire_On_Arrival
fr1694510,64,003,,2,1,999,96,98,4,3
fr1694511,81,,,,1,82,47,51,,7
fr1694512,,,,,3,,,,,
fr1694513,44,001,,1,1,999,46,45,7,2
fr1694514,53,,,,1,71,46,28,,4
fr1694515,25,001,,2,1,79,36,47,5,3
fr1694516,,,,,3,,,,,
fr1694517,11,001,2,11,1,999,13,99,10,5
fr1694518,25,B01,,3,1,24,14,52,7,3
fr1694519,,,,,3,,,,,
fr1694520,24,002,,1,1,11,54,46,4,3
fr1694521,,,,,3,,,,,
fr1694522,,,,,3,,,,,
fr1694523,,,,,3,,,,,
fr1694524,,,,,3,,,,,
fr1694525,21,011,,3,1,71,21,45,7,4
fr1694526,21,001,,4,1,28,21,60,6,5
fr1694527,24,001,,2,1,16,74,98,4,1
fr1694528,,,,,3,,,,,
fr1694529,22,002,,1,1,71,32,47,4,1
fr1694530,,,,,3,,,,,
fr1694531,,,,,3,,,,,
fr1694532,,,,,3,,,,,
fr1694533,,,,,3,,,,,
fr1694534,44,001,,4,1,71,46,50,8,4
fr1694535,,,,,3,,,,,
fr1694536,,,,,3,,,,,
fr1694537,,,,,3,,,,,
fr1694538,45,B01,,3,1,71,21,45,10,3
fr1694539,83,001,,1,1,98,97,99,2,4
fr1694540,30,001,,2,1,59,48,52,4,4
fr1694541,42,B01,,1,1,49,71,47,3,3
fr1694542,21,010,,4,1,24,43,52,4,2
fr1694543,21,003,,1,1,55,29,60,2,2
fr1694544,12,022,,1,1,999,51,44,2,1
fr1694545,81,,,,1,999,99,99,,3
fr1694546,81,,,,1,81,47,52,,1
fr1694547,22,B01,,1,1,55,56,44,7,2
fr1694548,22,004,,2,1,77,31,1,7,3
fr1694549,69,001,,2,1,24,16,20,9,3
fr1694550,81,,,,1,999,99,99,,5
fr1694551,,,,,3,,,,,
fr1694552,21,B01,,1,1,71,34,47,2,3
fr1694553,66,001,,1,1,28,14,52,6,3
fr1694554,,,,,3,,,,,
fr1694555,83,,,,1,81,47,52,,7
fr1694556,31,001,,1,1,41,99,52,4,2
fr1694557,50,B01,,1,1,23,97,52,3,1
fr1694558,,,,,3,,,,,
fr1694559,,,,,3,,,,,
fr1694560,25,001,,1,1,999,54,99,2,3
fr1694561,24,004,,1,1,11,74,44,4,1
fr1694562,24,005,,1,1,11,74,60,2,1
fr1694563,,,,,3,,,,,
fr1694564,24,001,,2,1,12,14,52,3,3
fr1694565,81,,,,1,85,47,12,,7
fr1694566,81,B01,,1,1,82,47,98,3,4
fr1694567,,,,,3,,,,,
fr1694568,,,,,3,,,,,
fr1694569,,,,,3,,,,,
fr1694570,83,,,,1,20,55,52,,4
fr1694571,,,,,3,,,,,
fr1694572,,,,,3,,,,,
fr1694573,69,002,,2,1,26,16,52,2,2
fr1694574,24,001,,2,1,11,74,60,7,3
fr1694575,,,,,3,,,,,
fr1694576,,,,,3,,,,,
fr1694577,,,,,3,,,,,
fr1694578,,,,,3,,,,,
fr1694579,72,B01,,2,1,999,46,99,7,3
fr1694580,,,,,3,,,,,
fr1694581,24,001,1,4,1,11,99,47,8,3
fr1694582,,,,,3,,,,,
fr1694583,,,,,3,,,,,
fr1694584,62,996,,9,1,30,97,52,9,3
fr1694585,49,001,1,10,1,55,99,44,99,8
fr1694586,,,,,3,,,,,
fr1694587,61,002,,1,1,79,12,47,2,4
fr1694588,81,,,,1,999,96,51,,4
fr1694589,44,001,,1,1,999,46,99,99,4
fr1694590,,,,,3,,,,,
fr1694591,30,001,,2,1,76,56,4,10,2
fr1694592,22,002,,1,1,98,31,60,4,2
fr1694593,,,,,3,,,,,
fr1694594,,,,,3,,,,,
fr1694595,87,,,,1,82,46,51,,3
fr1694596,24,003,,2,1,11,74,44,4,1
fr1694597,,,,,3,,,,,
fr1694598,97,999,,1,1,98,16,60,99,2
fr1694599,75,001,,2,1,93,12,60,3,4
fr1694600,75,,,,1,71,46,49,,1
fr1694601,24,029,,1,1,19,97,99,4,1
fr1694602,,,,,3,,,,,
fr1694603,99,,,,1,999,99,99,,5
fr1694604,87,,,,1,999,99,99,,7
fr1694605,,,,,3,,,,,
fr1694606,,,,,3,,,,,
fr1694607,,,,,3,,,,,
fr1694608,85,,,,1,999,47,52,,3
fr1694609,86,,,,1,999,99,99,,3
fr1694610,24,001,,2,1,11,74,60,7,1
fr1694611,27,001,,1,1,41,33,60,3,1
fr1694612,79,001,,1,1,82,47,60,99,3
fr1694613,79,,,,1,72,81,47,,3
fr1694614,,,,,3,,,,,
fr1694615,,,,,3,,,,,
fr1694616,44,999,,1,1,999,46,1,2,4
fr1694617,81,,,,1,999,99,52,,7
fr1694618,,,,,3,,,,,
fr1694619,,,,,3,,,,,
fr1694620,97,,,,1,20,55,52,,4
fr1694621,81,,,,1,82,99,99,,9
fr1694622,,,,,3,,,,,
fr1694623,,,,,3,,,,,
