id,sp_operation,sp_presence
sp1694769,8,3
sp1694770,2,9
sp1694771,8,3
sp1694772,2,2
sp1694773,2,1
sp1694774,9,9
sp1694775,,
sp1694776,,
sp1694777,,
sp1694778,1,1
sp1694779,2,1
sp1694780,2,1
sp1694781,1,1
sp1694782,8,3
sp1694783,8,3
sp1694784,8,3
sp1694785,,
sp1694786,,
sp1694787,9,9
sp1694788,1,2
sp1694789,,
sp1694790,,
sp1694791,,
sp1694792,2,2
sp1694793,8,3
sp1694794,8,3
sp1694795,,
sp1694796,,
sp1694797,,
sp1694798,,
sp1694799,8,3
sp1694800,,
sp1694801,,
sp1694802,2,2
sp1694803,,
sp1694804,8,3
sp1694805,,
sp1694806,8,3
sp1694807,,
sp1694808,8,3
sp1694809,,
sp1694810,,
sp1694811,,
sp1694812,8,3
sp1694813,,
sp1694814,8,3
sp1694815,,
sp1694816,,
sp1694817,,
sp1694818,,
sp1694819,3,1
sp1694820,8,3
sp1694821,,
sp1694822,,
sp1694823,2,2
sp1694824,,
sp1694825,1,1
sp1694826,,
sp1694827,,
sp1694828,2,2
sp1694829,9,9
sp1694830,,
sp1694831,,
sp1694832,8,3
sp1694833,,
sp1694834,8,3
sp1694835,,
sp1694836,8,3
sp1694837,,
sp1694838,,
sp1694839,8,9
sp1694840,,
sp1694841,,
sp1694842,,
sp1694843,,
sp1694844,,
sp1694845,,
sp1694846,8,3
sp1694847,,
sp1694848,9,9
sp1694849,,
sp1694850,,
sp1694851,,
sp1694852,2,1
sp1694853,,
sp1694854,,
sp1694855,1,1
sp1694856,2,9
sp1694857,2,9
sp1694858,8,3
sp1694859,2,1
sp1694860,8,3
sp1694861,,
sp1694862,1,1
sp1694863,2,2
sp1694864,,
sp1694865,,
sp1694866,8,3
sp1694867,,
sp1694868,,
sp1694869,,
sp1694870,,
sp1694871,,
sp1694872,,
sp1694873,,
sp1694874,,
sp1694875,,
sp1694876,8,3
sp1694877,8,3
sp1694878,,
sp1694879,,
sp1694880,,
sp1694881,,
sp1694882,,
sp1694883,8,3
sp1694884,,
sp1694885,9,9
sp1694886,3,1
sp1694887,,
sp1694888,,
sp1694889,,
sp1694890,,
sp1694891,,
sp1694892,8,3
sp1694893,8,3
sp1694894,,
sp1694895,4,2
sp1694896,1,1
sp1694897,,
sp1694898,,
sp1694899,8,3
sp1694900,,
sp1694901,,
sp1694902,,
sp1694903,,
sp1694904,8,3
sp1694905,,
sp1694906,,
