id,sa_fire_origin,sa_alarm_failure,sa_alarm_type,sa_impact_evacuation
sa1694571,,,,
sa1694572,,,,
sa1694573,4,98,2,7
sa1694574,2,98,1,3
sa1694575,,,,
sa1694576,,,,
sa1694577,,,,
sa1694578,,,,
sa1694579,1,9,8,3
sa1694580,,,,
sa1694581,2,98,1,8
sa1694582,,,,
sa1694583,,,,
sa1694584,9,98,9,8
sa1694585,1,98,8,7
sa1694586,,,,
sa1694587,3,98,1,7
sa1694588,,,,
sa1694589,1,98,9,8
sa1694590,,,,
sa1694591,3,4,4,7
sa1694592,2,98,2,8
sa1694593,,,,
sa1694594,,,,
sa1694595,,,,
sa1694596,4,98,9,9
sa1694597,,,,
sa1694598,9,98,8,9
sa1694599,1,98,8,8
sa1694600,,,,
sa1694601,2,98,4,1
sa1694602,,,,
sa1694603,,,,
sa1694604,,,,
sa1694605,,,,
sa1694606,,,,
sa1694607,,,,
sa1694608,,,,
sa1694609,,,,
sa1694610,3,4,1,7
sa1694611,1,98,8,8
sa1694612,1,98,8,9
sa1694613,,,,
sa1694614,,,,
sa1694615,,,,
sa1694616,1,98,8,7
sa1694617,,,,
sa1694618,,,,
sa1694619,,,,
sa1694620,,,,
sa1694621,,,,
sa1694622,,,,
sa1694623,,,,
sa1694624,,,,
sa1694625,2,98,9,2
sa1694626,1,98,2,7
sa1694627,,,,
sa1694628,4,98,1,9
sa1694629,2,98,1,1
sa1694630,3,2,1,7
sa1694631,,,,
sa1694632,,,,
sa1694633,,,,
sa1694634,,,,
sa1694635,,,,
sa1694636,,,,
sa1694637,,,,
sa1694638,2,98,2,3
sa1694639,,,,
sa1694640,1,98,8,9
sa1694641,9,98,9,9
sa1694642,,,,
sa1694643,,,,
sa1694644,2,98,1,7
sa1694645,2,98,1,7
sa1694646,2,98,2,2
sa1694647,,,,
sa1694648,2,98,4,1
sa1694649,1,9,1,9
sa1694650,1,9,8,7
sa1694651,,,,
sa1694652,3,1,1,3
sa1694653,2,98,1,1
sa1694654,2,98,4,3
sa1694655,2,98,8,2
sa1694656,,,,
sa1694657,2,98,4,1
sa1694658,3,3,1,9
sa1694659,9,98,8,8
sa1694660,2,98,2,2
sa1694661,3,4,9,7
sa1694662,,,,
sa1694663,9,98,8,8
sa1694664,2,98,2,7
sa1694665,,,,
sa1694666,1,9,8,7
sa1694667,1,5,9,9
sa1694668,,,,
sa1694669,,,,
sa1694670,1,98,8,7
sa1694671,,,,
sa1694672,,,,
sa1694673,,,,
sa1694674,1,98,2,7
sa1694675,,,,
sa1694676,,,,
sa1694677,,,,
sa1694678,1,3,9,3
sa1694679,2,98,1,1
sa1694680,,,,
sa1694681,,,,
sa1694682,,,,
sa1694683,,,,
sa1694684,,,,
sa1694685,,,,
sa1694686,3,98,2,8
sa1694687,,,,
sa1694688,,,,
sa1694689,2,98,2,2
sa1694690,,,,
sa1694691,2,98,9,9
sa1694692,,,,
sa1694693,2,98,4,2
sa1694694,2,98,2,1
sa1694695,,,,
sa1694696,,,,
sa1694697,,,,
sa1694698,,,,
sa1694699,1,98,8,8
sa1694700,2,98,1,3
sa1694701,,,,
sa1694702,9,98,8,7
sa1694703,,,,
sa1694704,,,,
sa1694705,1,98,8,7
sa1694706,,,,
sa1694707,,,,
sa1694708,,,,
sa1694709,,,,
sa1694710,2,98,9,7
sa1694711,1,98,9,8
sa1694712,1,98,8,8
sa1694713,2,98,9,9
sa1694714,2,98,9,1
sa1694715,,,,
sa1694716,2,98,4,9
sa1694717,3,4,2,7
sa1694718,2,5,4,1
sa1694719,2,98,2,7
sa1694720,,,,
sa1694721,9,98,4,3
sa1694722,2,98,2,1
sa1694723,,,,
sa1694724,,,,
sa1694725,,,,
sa1694726,9,98,8,8
sa1694727,,,,
sa1694728,,,,
sa1694729,2,98,4,7
sa1694730,3,4,1,8
sa1694731,,,,
sa1694732,,,,
sa1694733,,,,
sa1694734,,,,
sa1694735,,,,
sa1694736,3,5,9,7
sa1694737,,,,
sa1694738,,,,
sa1694739,,,,
sa1694740,,,,
sa1694741,9,98,9,9
sa1694742,,,,
sa1694743,,,,
sa1694744,1,98,8,8
sa1694745,,,,
sa1694746,,,,
sa1694747,,,,
sa1694748,1,98,8,8
sa1694749,2,98,2,1
sa1694750,3,99,1,9
sa1694751,2,98,4,3
sa1694752,,,,
sa1694753,,,,
sa1694754,,,,
sa1694755,,,,
sa1694756,9,98,9,9
sa1694757,,,,
sa1694758,,,,
sa1694759,,,,
sa1694760,,,,
sa1694761,,,,
sa1694762,1,98,8,7
sa1694763,2,98,2,1
sa1694764,,,,
sa1694765,,,,
sa1694766,,,,
sa1694767,,,,
sa1694768,1,98,8,7
sa1694769,2,98,1,7
sa1694770,3,4,9,8
sa1694771,1,98,8,8
sa1694772,2,98,1,2
sa1694773,2,98,2,1
sa1694774,2,98,9,1
sa1694775,,,,
sa1694776,,,,
sa1694777,,,,
sa1694778,2,98,2,1
sa1694779,1,9,8,1
sa1694780,1,98,8,9
sa1694781,2,98,4,3
sa1694782,4,99,1,7
sa1694783,2,98,4,1
sa1694784,1,98,8,7
sa1694785,,,,
sa1694786,,,,
sa1694787,9,98,9,9
sa1694788,2,98,4,1
sa1694789,,,,
sa1694790,,,,
sa1694791,,,,
sa1694792,1,9,8,7
sa1694793,9,99,8,7
sa1694794,1,98,8,7
sa1694795,,,,
sa1694796,,,,
sa1694797,,,,
sa1694798,,,,
sa1694799,2,98,1,8
sa1694800,,,,
sa1694801,,,,
sa1694802,2,98,2,1
sa1694803,,,,
sa1694804,1,98,8,8
sa1694805,,,,
sa1694806,3,99,4,8
sa1694807,,,,
sa1694808,9,98,8,8
sa1694809,,,,
sa1694810,,,,
sa1694811,,,,
sa1694812,2,98,2,7
sa1694813,,,,
sa1694814,2,98,2,1
sa1694815,,,,
sa1694816,,,,
sa1694817,,,,
sa1694818,,,,
sa1694819,4,98,9,7
sa1694820,2,98,2,7
sa1694821,,,,
sa1694822,,,,
sa1694823,2,98,4,1
sa1694824,,,,
