id,impact_evacuation,fa_operation,fa_presence
fa1694740,,,
fa1694741,2,1,1
fa1694742,,,
fa1694743,,,
fa1694744,8,8,9
fa1694745,,,
fa1694746,,,
fa1694747,,,
fa1694748,8,8,2
fa1694749,8,8,2
fa1694750,7,8,8
fa1694751,3,1,1
fa1694752,,,
fa1694753,,,
fa1694754,,,
fa1694755,,,
fa1694756,9,9,9
fa1694757,,,
fa1694758,,,
fa1694759,,,
fa1694760,,,
fa1694761,,,
fa1694762,7,8,2
fa1694763,1,1,1
fa1694764,,,
fa1694765,,,
fa1694766,,,
fa1694767,,,
fa1694768,7,8,2
fa1694769,7,2,1
fa1694770,9,2,1
fa1694771,8,8,8
fa1694772,2,1,1
fa1694773,1,1,1
fa1694774,9,1,1
fa1694775,,,
fa1694776,,,
fa1694777,,,
fa1694778,1,1,1
fa1694779,1,1,1
fa1694780,9,1,1
fa1694781,3,1,1
fa1694782,8,8,8
fa1694783,1,1,1
fa1694784,7,1,1
fa1694785,,,
fa1694786,,,
fa1694787,9,9,9
fa1694788,1,1,1
fa1694789,,,
fa1694790,,,
fa1694791,,,
fa1694792,7,8,2
fa1694793,7,8,8
fa1694794,8,8,8
fa1694795,,,
fa1694796,,,
fa1694797,,,
fa1694798,,,
fa1694799,7,1,1
fa1694800,,,
fa1694801,,,
fa1694802,9,1,1
fa1694803,,,
fa1694804,8,9,8
fa1694805,,,
fa1694806,9,2,1
fa1694807,,,
fa1694808,9,9,9
fa1694809,,,
fa1694810,,,
fa1694811,,,
fa1694812,7,8,8
fa1694813,,,
fa1694814,8,8,2
fa1694815,,,
fa1694816,,,
fa1694817,,,
fa1694818,,,
fa1694819,7,9,1
fa1694820,7,1,1
fa1694821,,,
fa1694822,,,
fa1694823,1,1,1
fa1694824,,,
fa1694825,3,1,1
fa1694826,,,
fa1694827,,,
fa1694828,1,1,1
fa1694829,1,1,1
fa1694830,,,
fa1694831,,,
fa1694832,9,1,1
fa1694833,,,
fa1694834,9,8,8
fa1694835,,,
fa1694836,8,8,8
fa1694837,,,
fa1694838,,,
fa1694839,8,8,8
fa1694840,,,
fa1694841,,,
fa1694842,,,
fa1694843,,,
fa1694844,,,
fa1694845,,,
fa1694846,8,8,2
fa1694847,,,
fa1694848,9,9,1
fa1694849,,,
fa1694850,,,
fa1694851,,,
fa1694852,9,1,1
fa1694853,,,
fa1694854,,,
fa1694855,1,1,1
fa1694856,9,1,1
fa1694857,7,2,1
fa1694858,7,8,2
fa1694859,7,2,1
fa1694860,3,1,1
fa1694861,,,
fa1694862,9,1,1
fa1694863,1,1,1
fa1694864,,,
fa1694865,,,
fa1694866,7,8,2
fa1694867,,,
fa1694868,,,
fa1694869,,,
fa1694870,,,
fa1694871,,,
fa1694872,,,
fa1694873,,,
fa1694874,,,
fa1694875,,,
fa1694876,9,1,1
fa1694877,1,1,1
fa1694878,,,
fa1694879,,,
fa1694880,,,
fa1694881,,,
fa1694882,,,
fa1694883,7,1,1
fa1694884,,,
fa1694885,9,9,9
fa1694886,1,1,1
fa1694887,,,
fa1694888,,,
fa1694889,,,
fa1694890,,,
fa1694891,,,
fa1694892,8,1,1
fa1694893,1,1,1
fa1694894,,,
fa1694895,7,2,1
fa1694896,1,1,1
fa1694897,,,
fa1694898,,,
fa1694899,2,9,1
fa1694900,,,
fa1694901,,,
fa1694902,,,
fa1694903,,,
fa1694904,8,8,8
fa1694905,,,
fa1694906,,,
fa1694907,,,
fa1694908,,,
fa1694909,7,1,1
fa1694910,9,9,1
fa1694911,2,1,1
fa1694912,,,
fa1694913,,,
fa1694914,2,1,1
fa1694915,,,
fa1694916,,,
fa1694917,,,
fa1694918,7,8,2
fa1694919,8,8,9
fa1694920,,,
fa1694921,,,
fa1694922,2,1,1
fa1694923,1,1,1
fa1694924,8,8,8
fa1694925,,,
fa1694926,,,
fa1694927,8,8,8
fa1694928,,,
fa1694929,,,
fa1694930,8,8,8
fa1694931,,,
fa1694932,,,
fa1694933,,,
fa1694934,,,
fa1694935,,,
fa1694936,,,
fa1694937,7,9,1
fa1694938,,,
fa1694939,,,
fa1694940,8,1,1
fa1694941,,,
fa1694942,9,1,1
fa1694943,,,
fa1694944,8,8,8
fa1694945,,,
fa1694946,,,
fa1694947,9,2,1
fa1694948,8,8,8
fa1694949,,,
fa1694950,,,
fa1694951,,,
fa1694952,,,
fa1694953,1,1,1
fa1694954,,,
fa1694955,1,1,1
fa1694956,,,
fa1694957,7,2,1
fa1694958,,,
fa1694959,,,
fa1694960,,,
fa1694961,,,
fa1694962,,,
fa1694963,,,
fa1694964,,,
fa1694965,,,
fa1694966,7,2,1
fa1694967,,,
fa1694968,,,
fa1694969,,,
fa1694970,,,
fa1694971,,,
fa1694972,,,
fa1694973,9,9,1
fa1694974,7,8,8
fa1694975,,,
fa1694976,,,
fa1694977,,,
fa1694978,,,
fa1694979,8,8,8
fa1694980,,,
fa1694981,,,
fa1694982,,,
fa1694983,,,
fa1694984,,,
fa1694985,,,
fa1694986,,,
fa1694987,,,
fa1694988,3,1,1
fa1694989,,,
fa1694990,9,1,1
fa1694991,,,
fa1694992,,,
fa1694993,,,
fa1694994,,,
fa1694995,,,
fa1694996,8,8,8
fa1694997,,,
fa1694998,,,
fa1694999,2,1,1
fa1695000,8,8,8
fa1695001,,,
fa1695002,,,
fa1695003,,,
fa1695004,,,
fa1695005,8,8,8
fa1695006,,,
fa1695007,,,
fa1695008,3,8,2
fa1695009,1,1,1
fa1695010,7,2,1
fa1695011,,,
fa1695012,8,8,8
fa1695013,2,1,1
fa1695014,8,8,8
fa1695015,1,1,1
fa1695016,1,1,1
fa1695017,,,
fa1695018,,,
fa1695019,,,
fa1695020,,,
fa1695021,7,2,1
fa1695022,,,
fa1695023,,,
fa1695024,,,
fa1695025,,,
fa1695026,7,8,8
fa1695027,,,
fa1695028,,,
fa1695029,3,1,9
fa1695030,,,
fa1695031,1,1,1
fa1695032,,,
fa1695033,,,
fa1695034,,,
fa1695035,,,
fa1695036,1,1,1
fa1695037,,,
fa1695038,,,
fa1695039,,,
fa1695040,,,
fa1695041,,,
fa1695042,,,
fa1695043,,,
fa1695044,,,
fa1695045,,,
fa1695046,,,
fa1695047,,,
fa1695048,,,
fa1695049,1,1,1
fa1695050,,,
fa1695051,,,
fa1695052,,,
fa1695053,,,
fa1695054,8,8,8
fa1695055,,,
fa1695056,,,
fa1695057,,,
fa1695058,,,
fa1695059,,,
fa1695060,,,
fa1695061,,,
fa1695062,,,
fa1695063,8,8,2
fa1695064,,,
fa1695065,1,1,1
fa1695066,,,
fa1695067,1,1,1
fa1695068,8,8,2
fa1695069,,,
fa1695070,9,1,1
fa1695071,,,
fa1695072,,,
fa1695073,8,8,2
fa1695074,8,9,9
fa1695075,1,1,1
fa1695076,,,
fa1695077,9,2,1
fa1695078,,,
fa1695079,,,
fa1695080,,,
fa1695081,7,8,2
fa1695082,,,
fa1695083,,,
fa1695084,,,
fa1695085,,,
fa1695086,,,
fa1695087,,,
fa1695088,,,
fa1695089,7,8,2
fa1695090,,,
fa1695091,,,
fa1695092,2,1,1
fa1695093,,,
fa1695094,,,
fa1695095,7,2,1
fa1695096,1,1,1
fa1695097,,,
fa1695098,,,
fa1695099,,,
fa1695100,7,8,8
fa1695101,,,
fa1695102,,,
fa1695103,2,1,1
fa1695104,,,
fa1695105,,,
fa1695106,7,9,1
fa1695107,7,2,1
fa1695108,8,8,8
fa1695109,,,
fa1695110,,,
fa1695111,,,
fa1695112,,,
fa1695113,,,
fa1695114,,,
fa1695115,,,
fa1695116,,,
fa1695117,9,1,1
fa1695118,,,
fa1695119,2,1,1
fa1695120,,,
fa1695121,,,
fa1695122,9,9,9
fa1695123,8,8,2
fa1695124,,,
fa1695125,8,8,2
fa1695126,1,1,1
fa1695127,,,
fa1695128,,,
fa1695129,7,9,1
fa1695130,,,
fa1695131,,,
fa1695132,,,
fa1695133,,,
fa1695134,,,
fa1695135,,,
fa1695136,8,8,8
fa1695137,2,1,1
fa1695138,,,
fa1695139,,,
fa1695140,,,
fa1695141,,,
fa1695142,2,1,1
fa1695143,,,
fa1695144,1,1,1
fa1695145,,,
fa1695146,,,
fa1695147,2,1,1
fa1695148,,,
fa1695149,3,1,1
fa1695150,,,
fa1695151,,,
fa1695152,,,
fa1695153,,,
fa1695154,,,
fa1695155,8,8,9
fa1695156,,,
fa1695157,,,
fa1695158,,,
fa1695159,,,
fa1695160,,,
fa1695161,,,
fa1695162,,,
fa1695163,,,
fa1695164,,,
fa1695165,,,
fa1695166,,,
fa1695167,,,
fa1695168,,,
fa1695169,,,
fa1695170,,,
fa1695171,2,1,1
fa1695172,,,
fa1695173,9,9,1
fa1695174,9,9,9
fa1695175,,,
fa1695176,8,8,2
fa1695177,1,1,1
fa1695178,,,
fa1695179,,,
fa1695180,,,
fa1695181,8,8,8
fa1695182,,,
fa1695183,,,
fa1695184,,,
fa1695185,,,
fa1695186,,,
fa1695187,,,
fa1695188,,,
fa1695189,2,1,1
fa1695190,,,
fa1695191,,,
fa1695192,,,
fa1695193,9,9,1
fa1695194,8,8,2
fa1695195,,,
fa1695196,,,
fa1695197,,,
fa1695198,,,
fa1695199,,,
fa1695200,1,1,1
fa1695201,,,
fa1695202,,,
fa1695203,,,
fa1695204,,,
fa1695205,3,1,1
fa1695206,7,2,1
fa1695207,,,
fa1695208,,,
fa1695209,,,
fa1695210,1,1,1
fa1695211,,,
fa1695212,,,
fa1695213,,,
fa1695214,,,
fa1695215,,,
fa1695216,,,
fa1695217,,,
fa1695218,,,
fa1695219,8,9,9
fa1695220,,,
fa1695221,,,
fa1695222,,,
fa1695223,,,
fa1695224,7,8,8
fa1695225,,,
fa1695226,,,
fa1695227,,,
fa1695228,2,1,1
fa1695229,9,8,9
fa1695230,,,
fa1695231,,,
fa1695232,,,
fa1695233,,,
fa1695234,9,9,1
fa1695235,,,
fa1695236,,,
fa1695237,,,
fa1695238,,,
fa1695239,,,
fa1695240,,,
fa1695241,,,
fa1695242,3,1,1
fa1695243,,,
fa1695244,3,1,1
fa1695245,9,9,9
fa1695246,,,
fa1695247,8,8,2
fa1695248,,,
fa1695249,,,
fa1695250,,,
fa1695251,,,
fa1695252,,,
fa1695253,1,1,1
fa1695254,,,
fa1695255,,,
fa1695256,,,
fa1695257,,,
fa1695258,7,1,1
fa1695259,,,
fa1695260,,,
fa1695261,1,1,1
fa1695262,8,8,8
fa1695263,,,
fa1695264,,,
fa1695265,,,
fa1695266,,,
fa1695267,,,
fa1695268,8,8,2
fa1695269,,,
fa1695270,,,
fa1695271,,,
fa1695272,3,1,1
fa1695273,,,
fa1695274,,,
fa1695275,,,
fa1695276,,,
fa1695277,,,
fa1695278,,,
fa1695279,,,
fa1695280,7,2,1
fa1695281,,,
fa1695282,,,
fa1695283,2,1,2
fa1695284,1,1,1
fa1695285,,,
fa1695286,,,
fa1695287,7,8,2
fa1695288,,,
fa1695289,,,
fa1695290,8,1,1
fa1695291,,,
fa1695292,8,8,8
fa1695293,,,
fa1695294,,,
fa1695295,7,2,1
fa1695296,,,
fa1695297,2,1,1
fa1695298,8,8,8
fa1695299,,,
fa1695300,,,
fa1695301,9,2,9
fa1695302,1,1,1
fa1695303,9,9,1
fa1695304,,,
fa1695305,8,8,8
fa1695306,,,
fa1695307,,,
fa1695308,8,9,9
fa1695309,1,1,1
fa1695310,8,8,8
fa1695311,,,
fa1695312,,,
fa1695313,,,
fa1695314,,,
fa1695315,,,
fa1695316,,,
fa1695317,2,1,1
fa1695318,2,1,1
fa1695319,,,
fa1695320,3,1,1
fa1695321,,,
fa1695322,,,
fa1695323,7,8,2
fa1695324,,,
fa1695325,2,1,1
fa1695326,,,
fa1695327,2,1,1
fa1695328,8,8,2
fa1695329,,,
fa1695330,,,
fa1695331,7,2,8
fa1695332,8,8,2
fa1695333,,,
fa1695334,8,8,2
fa1695335,1,1,1
fa1695336,,,
fa1695337,,,
fa1695338,9,9,1
fa1695339,,,
fa1695340,,,
fa1695341,,,
fa1695342,1,1,1
fa1695343,7,2,1
fa1695344,,,
fa1695345,,,
fa1695346,9,1,1
fa1695347,,,
fa1695348,9,9,9
fa1695349,1,1,1
fa1695350,,,
fa1695351,,,
fa1695352,,,
fa1695353,,,
fa1695354,,,
fa1695355,7,2,1
fa1695356,7,2,1
fa1695357,,,
fa1695358,7,2,2
fa1695359,,,
fa1695360,,,
fa1695361,,,
fa1695362,,,
fa1695363,,,
fa1695364,9,1,1
fa1695365,9,1,1
fa1695366,,,
fa1695367,2,1,1
fa1695368,,,
fa1695369,8,8,2
fa1695370,8,8,8
